PW_MODEL_PW2281S_20_6 
Capacity=0.0261AH
SOC(%), Open Voltage(V), ESR(ohm)
0, 2.0536003113, 8.0729675293 
1, 2.0577774048, 7.9780578613 
2, 2.0620384216, 7.9180145264 
3, 2.0659141541, 7.8769683838 
4, 2.0697669983, 7.8484344482 
5, 2.0733757019, 7.8241729736 
6, 2.0767745972, 7.7907562256 
7, 2.080078125, 7.7168273926 
8, 2.0832366943, 7.6123046875 
9, 2.0869369507, 7.5566101074 
10, 2.090473175, 7.5283050537 
11, 2.0937042236, 7.4779510498 
12, 2.0972747803, 7.4398803711 
13, 2.1007575989, 7.3751831055 
14, 2.103805542, 7.3273468018 
15, 2.1072807312, 7.282333374 
16, 2.110206604, 7.2582244873 
17, 2.1128807068, 7.2264099121 
18, 2.1166419983, 7.1719360352 
19, 2.1198348999, 7.1327209473 
20, 2.123336792, 7.0977020264 
21, 2.126247406, 7.0580291748 
22, 2.1294555664, 7.0315551758 
23, 2.1329231262, 6.9921112061 
24, 2.1361465454, 6.9662475586 
25, 2.1392555237, 6.9442749023 
26, 2.1428604126, 6.9140625 
27, 2.1464233398, 6.8942260742 
28, 2.1506233215, 6.870880127 
29, 2.1544342041, 6.8416595459 
30, 2.1580238342, 6.8130493164 
31, 2.1622390747, 6.7803192139 
32, 2.1660194397, 6.7320251465 
33, 2.1701049805, 6.6751861572 
34, 2.1739692688, 6.6318511963 
35, 2.1777076721, 6.605758667 
36, 2.1815299988, 6.5617370605 
37, 2.185333252, 6.537322998 
38, 2.1892623901, 6.5113830566 
39, 2.1941223145, 6.4850616455 
40, 2.197883606, 6.4636230469 
41, 2.2023582458, 6.4392089844 
42, 2.2062492371, 6.4112854004 
43, 2.2105979919, 6.3829803467 
44, 2.2154121399, 6.3506317139 
45, 2.2196998596, 6.3236236572 
46, 2.2242088318, 6.3028717041 
47, 2.2292556763, 6.2816619873 
48, 2.2337722778, 6.2602996826 
49, 2.2387695313, 6.2391662598 
50, 2.2434425354, 6.2223052979 
51, 2.248134613, 6.2035369873 
52, 2.2538146973, 6.1782073975 
53, 2.2587051392, 6.1586761475 
54, 2.2642822266, 6.1389160156 
55, 2.2694740295, 6.1235046387 
56, 2.2744941711, 6.1204528809 
57, 2.2797164917, 6.12159729 
58, 2.285030365, 6.1210632324 
59, 2.290473938, 6.1208343506 
60, 2.2965316772, 6.123046875 
61, 2.3021469116, 6.1251068115 
62, 2.3081970215, 6.1295318604 
63, 2.313999176, 6.1267089844 
64, 2.3202056885, 6.1240386963 
65, 2.3271903992, 6.1139678955 
66, 2.3335494995, 6.1026763916 
67, 2.3402519226, 6.0939788818 
68, 2.347869873, 6.0792541504 
69, 2.3547363281, 6.0730743408 
70, 2.3626823425, 6.0648345947 
71, 2.3701934814, 6.0571289063 
72, 2.3776321411, 6.0474395752 
73, 2.3862609863, 6.0321807861 
74, 2.394367218, 6.0228729248 
75, 2.403503418, 6.0145568848 
76, 2.4122276306, 6.0070800781 
77, 2.421207428, 5.998916626 
78, 2.4314689636, 5.993347168 
79, 2.4408340454, 5.9857940674 
80, 2.4505462646, 5.9759521484 
81, 2.4616012573, 5.9648895264 
82, 2.4718704224, 5.9508514404 
83, 2.4835624695, 5.929107666 
84, 2.4944000244, 5.9075927734 
85, 2.5056114197, 5.8791351318 
86, 2.5183334351, 5.8433532715 
87, 2.5302391052, 5.8023834229 
88, 2.5425682068, 5.7525634766 
89, 2.5567741394, 5.6897735596 
90, 2.5702171326, 5.6266784668 
91, 2.5858955383, 5.5553436279 
92, 2.6009407043, 5.4903411865 
93, 2.6170959473, 5.4273223877 
94, 2.6366539001, 5.3659057617 
95, 2.6563415527, 5.3192138672 
96, 2.6786117554, 5.2880859375 
97, 2.7079734802, 5.2902984619 
98, 2.7421531677, 5.3400421143 
99, 2.8018989563, 5.4638671875 
100, 3.0448379517, 5.5926513672 
