TEST_PARAM.comment:,lr44 2x

SourceMeter Model:,2450
SourceMeter S/N:,04036355
SourceMeter Firmware:,1.7.5b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.0592660904
TEST_PARAM.vcutoff:,1.65

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,02/26/21 14:04:37
TEST_PARAM.discharge_stop_time:,02/26/21 14:35:54

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03483104,3.0448379517,2.7652053833,5.5926513672
BATT_MODEL_RAW:,2,2.03546566,2.9426994324,2.6627998352,5.5979919434
BATT_MODEL_RAW:,3,4.03572704,2.904296875,2.6254768372,5.5764007568
BATT_MODEL_RAW:,4,6.03655048,2.879108429,2.601146698,5.5592346191
BATT_MODEL_RAW:,5,8.03752154,2.8601493835,2.5830345154,5.5422973633
BATT_MODEL_RAW:,6,10.03837794,2.8448104858,2.5685195923,5.5258178711
BATT_MODEL_RAW:,7,12.03943766,2.8318901062,2.5564041138,5.5097198486
BATT_MODEL_RAW:,8,14.04036922,2.8206672668,2.5459518433,5.4943084717
BATT_MODEL_RAW:,9,16.04137458,2.8107719421,2.5368385315,5.4786682129
BATT_MODEL_RAW:,10,18.04243174,2.8018989563,2.5287055969,5.4638671875
BATT_MODEL_RAW:,11,20.04324932,2.7938652039,2.5213928223,5.4494476318
BATT_MODEL_RAW:,12,22.04393114,2.7864608765,2.5147514343,5.4341888428
BATT_MODEL_RAW:,13,24.0450685,2.7796440125,2.5086517334,5.4198455811
BATT_MODEL_RAW:,14,26.04572488,2.7733001709,2.5029945374,5.4061126709
BATT_MODEL_RAW:,15,28.04637458,2.7673377991,2.4976425171,5.3939056396
BATT_MODEL_RAW:,16,30.04731076,2.761756897,2.4926872253,5.3813934326
BATT_MODEL_RAW:,17,32.04825146,2.756477356,2.4879684448,5.3701782227
BATT_MODEL_RAW:,18,34.0490977,2.7514572144,2.483455658,5.3600311279
BATT_MODEL_RAW:,19,36.04983566,2.7466926575,2.479183197,5.350189209
BATT_MODEL_RAW:,20,38.05060052,2.7421531677,2.475151062,5.3400421143
BATT_MODEL_RAW:,21,40.05145906,2.7378196716,2.4712219238,5.3319549561
BATT_MODEL_RAW:,22,42.05211574,2.7336425781,2.4674797058,5.3232574463
BATT_MODEL_RAW:,23,44.05309526,2.7295951843,2.4637908936,5.3160858154
BATT_MODEL_RAW:,24,46.05372376,2.7256965637,2.4602012634,5.3099060059
BATT_MODEL_RAW:,25,48.05478884,2.7219657898,2.4567146301,5.3050231934
BATT_MODEL_RAW:,26,50.05584718,2.7183036804,2.4533004761,5.3000640869
BATT_MODEL_RAW:,27,52.05682028,2.714756012,2.4499435425,5.2962493896
BATT_MODEL_RAW:,28,54.05750846,2.7113227844,2.4466667175,5.2931213379
BATT_MODEL_RAW:,29,56.05835194,2.7079734802,2.4434585571,5.2902984619
BATT_MODEL_RAW:,30,58.05931292,2.7047309875,2.440322876,5.2881622314
BATT_MODEL_RAW:,31,60.06026168,2.7015647888,2.4372711182,5.2858734131
BATT_MODEL_RAW:,32,62.06084676,2.6984710693,2.434223175,5.2849578857
BATT_MODEL_RAW:,33,64.06201912,2.6954307556,2.4312095642,5.2844238281
BATT_MODEL_RAW:,34,66.06313972,2.6925048828,2.4283332825,5.2834320068
BATT_MODEL_RAW:,35,68.06420826,2.6895866394,2.4253730774,5.2842712402
BATT_MODEL_RAW:,36,70.06512624,2.6867485046,2.4224891663,5.2851867676
